"id","site","job_url","job_url_direct","title","company","location","date_posted","job_type","salary_source","interval","min_amount","max_amount","currency","is_remote","job_level","job_function","listing_type","emails","description","company_industry","company_url","company_logo","company_url_direct","company_addresses","company_num_employees","company_revenue","company_description","skills","experience_range","company_rating","company_reviews_count","vacancy_count","work_from_home_type"
"li-4387793890","linkedin","https://www.linkedin.com/jobs/view/4387793890","","Test Engineer","Vola Finance","Bengaluru, Karnataka, India","2026-03-20","","","","","","",False,"","","","","","","https://www.linkedin.com/company/volafinance","","","","","","","","","","","",""
"li-4386306649","linkedin","https://www.linkedin.com/jobs/view/4386306649","","Senior Software Engineer (Java Full Stack)","Caterpillar Inc.","Bengaluru East, Karnataka, India","2026-03-20","","","","","","",False,"","","","","","","https://www.linkedin.com/company/caterpillar-inc","","","","","","","","","","","",""
"li-4388308501","linkedin","https://www.linkedin.com/jobs/view/4388308501","","DEVELOPER L4","Wipro","Bengaluru, Karnataka, India","2026-03-20","","","","","","",False,"","","","","","","https://in.linkedin.com/company/wipro","","","","","","","","","","","",""
"li-4247425304","linkedin","https://www.linkedin.com/jobs/view/4247425304","","Infrastructure Software Engineer, 2","People Inc.","Bengaluru, Karnataka, India","2026-03-20","","","","","","",False,"","","","","","","https://www.linkedin.com/company/people-inc-co","","","","","","","","","","","",""
"li-4388327803","linkedin","https://www.linkedin.com/jobs/view/4388327803","","(IND) STAFF, SOFTWARE ENGINEER (Fullstack)","Walmart Global Tech India","Bengaluru, Karnataka, India","2026-03-20","","","","","","",False,"","","","","","","https://in.linkedin.com/company/walmartglobaltechindia","","","","","","","","","","","",""
"li-4388327513","linkedin","https://www.linkedin.com/jobs/view/4388327513","","Senior Software Engineer","Red Hat","Bengaluru, Karnataka, India","2026-03-20","","","","","","",False,"","","","","","","https://www.linkedin.com/company/red-hat","","","","","","","","","","","",""
"li-4387921318","linkedin","https://www.linkedin.com/jobs/view/4387921318","","Senior System Software Engineer - Automotive","NVIDIA","Bengaluru, Karnataka, India","2026-03-20","","","","","","",False,"","","","","","","https://www.linkedin.com/company/nvidia","","","","","","","","","","","",""
"li-4387755912","linkedin","https://www.linkedin.com/jobs/view/4387755912","","Illumine - Senior Quality Assurance Engineer - Manual &amp; Automation Testing","Illumine Llc","Bengaluru, Karnataka, India","2026-03-20","","","","","","",False,"","","","","","","https://www.linkedin.com/company/illumine-llc","","","","","","","","","","","",""
"li-4388329756","linkedin","https://www.linkedin.com/jobs/view/4388329756","","Senior, Software Engineer","Walmart Global Tech India","Bengaluru, Karnataka, India","2026-03-20","","","","","","",False,"","","","","","","https://in.linkedin.com/company/walmartglobaltechindia","","","","","","","","","","","",""
"li-4387766545","linkedin","https://www.linkedin.com/jobs/view/4387766545","","Interesting Job Opportunity: AppYogi Software - Power BI Developer - Data Visualization","AppYogi Software","Bengaluru, Karnataka, India","2026-03-20","","","","","","",False,"","","","","","","https://www.linkedin.com/company/appyogi-software","","","","","","","","","","","",""
